timestep,r_perf,r_cost,r_energy,latency,replicas,avg_cpu_percent,ram_usage,num_requests,total_cpu_m,total_ram_mi,success_ratio,pod_power,hpa_target,masterk8s_cpu,masterk8s_mem,worker11_cpu,worker11_mem,worker12_cpu,worker12_mem,worker13_cpu,worker13_mem,worker14_cpu,worker14_mem
292,1.0,-0.7,-1.1449645,0.0065,14.0,45.57143,0.0,9.0,1595.0,322.0,1.0,167.1058,90.0,43,17,9,11,12,11,10,10,11,13
293,1.0,-0.7,-1.164343,0.0053,14.0,44.657143,0.0,6.0,1563.0,322.0,1.0,169.39247,50.0,27,17,12,11,11,11,12,10,11,13
294,1.0,-0.7,-1.1646898,0.0061,14.0,45.514286,0.0,8.0,1593.0,322.0,1.0,169.4334,50.0,39,17,10,11,8,11,8,10,11,13
295,1.0,-0.7,-1.1643118,0.0053,14.0,44.714287,0.0,6.0,1565.0,322.0,1.0,169.3888,90.0,27,17,9,11,10,11,10,10,11,13
296,1.0,-0.7,-1.1377894,0.0093,14.0,48.25714,0.0,15.0,1689.0,322.0,1.0,166.25914,50.0,71,17,12,11,11,11,12,10,11,13
297,1.0,-0.7,-1.1631943,0.0075,14.0,47.657143,0.0,11.0,1668.0,322.0,1.0,169.25693,30.0,53,17,10,11,8,11,9,10,12,13
298,1.0,-0.7,-1.143039,0.0099,14.0,46.685715,0.0,16.0,1634.0,322.0,1.0,166.8786,30.0,75,17,8,11,11,11,9,10,11,13
299,1.0,-0.7,-1.1435384,0.006,14.0,45.771427,0.0,8.0,1602.0,322.0,1.0,166.93753,10.0,38,17,12,11,11,11,12,10,12,13
300,1.0,-0.7,-1.1299752,0.0073,14.0,45.17143,0.0,11.0,1581.0,322.0,1.0,165.33707,90.0,52,17,10,11,9,11,8,10,11,13
301,1.0,-0.7,-1.1442865,0.0177,14.0,47.82857,0.0,31.0,1674.0,322.0,1.0,167.0258,30.0,78,17,11,11,11,11,11,10,11,13
302,1.0,-0.7,-1.1008266,0.0097,14.0,43.714287,0.0,16.0,1530.0,322.0,1.0,161.89754,90.0,76,17,9,11,9,11,10,10,13,13
