timestep,r_perf,r_cost,r_energy,latency,replicas,avg_cpu_percent,ram_usage,num_requests,total_cpu_m,total_ram_mi,success_ratio,pod_power,hpa_target,masterk8s_cpu,masterk8s_mem,worker11_cpu,worker11_mem,worker12_cpu,worker12_mem,worker13_cpu,worker13_mem,worker14_cpu,worker14_mem
252,1.0,-0.75,-1.111152,0.0132,15.0,46.64,0.0,24.0,1749.0,346.0,1.0,163.11594,50.0,79,16,10,11,8,10,9,10,14,13
253,-0.32,-0.75,-1.1270204,0.0264,15.0,44.933334,0.0,81.0,1685.0,346.0,1.0,164.9884,10.0,83,16,11,11,10,10,10,10,10,13
254,1.0,-0.75,-1.226974,0.0053,15.0,44.02667,0.0,5.0,1651.0,346.0,1.0,176.78293,10.0,22,16,10,11,10,10,10,10,11,13
255,1.0,-0.75,-1.2014238,0.0055,15.0,42.426666,0.0,6.0,1591.0,346.0,1.0,173.768,30.0,28,16,10,11,8,10,9,10,12,13
256,-0.28499997,-0.75,-1.1395937,0.0257,15.0,42.266666,0.0,48.0,1585.0,346.0,1.0,166.47206,90.0,83,16,10,11,9,10,10,10,10,13
257,-0.29000005,-0.75,-1.0942141,0.0258,15.0,40.48,0.0,49.0,1518.0,346.0,1.0,161.11726,10.0,82,17,9,11,10,11,9,10,8,13
258,-0.365,-0.75,-1.1314447,0.0273,15.0,47.013332,0.0,85.0,1763.0,346.0,1.0,165.51047,30.0,82,17,11,11,8,11,9,10,13,13
259,-0.315,-0.75,-1.0980135,0.0263,15.0,43.946667,0.0,65.0,1648.0,346.0,1.0,161.5656,90.0,82,17,10,11,9,10,10,10,12,13
260,-0.325,-0.75,-1.1107671,0.0265,15.0,46.24,0.0,81.0,1734.0,346.0,1.0,163.07053,90.0,81,17,10,11,11,10,10,10,10,13
261,-0.32999998,-0.75,-1.1055073,0.0266,15.0,46.666668,0.0,133.0,1750.0,346.0,1.0,162.44986,30.0,77,17,11,11,8,10,9,10,14,13
262,1.0,-0.75,-1.0979413,0.0189,15.0,45.866665,0.0,35.0,1720.0,346.0,1.0,161.55707,10.0,84,17,10,11,10,10,10,10,12,13
263,1.0,-0.75,-1.1568135,0.0052,15.0,45.84,0.0,5.0,1719.0,346.0,1.0,168.504,70.0,22,17,10,11,11,10,10,10,11,13
264,-0.32999998,-0.75,-1.0957723,0.0266,15.0,45.466667,0.0,75.0,1705.0,346.0,1.0,161.30113,70.0,78,17,11,11,8,11,10,10,13,13
265,1.0,-0.75,-1.0969243,0.0068,15.0,40.266666,0.0,10.0,1510.0,347.0,1.0,161.43707,10.0,51,17,7,11,10,11,10,10,11,13
266,-0.34500003,-0.75,-1.135436,0.0269,15.0,44.506668,0.0,76.0,1669.0,346.0,1.0,165.98146,70.0,82,17,9,11,9,10,7,10,12,13
267,1.0,-0.75,-1.1040163,0.0151,15.0,44.826668,0.0,28.0,1681.0,347.0,1.0,162.27393,50.0,82,17,11,11,10,10,8,10,10,13
268,1.0,-0.75,-1.0857164,0.0168,15.0,45.626667,0.0,31.0,1711.0,346.0,1.0,160.11453,50.0,82,17,9,11,10,10,12,10,11,13
269,-0.32999998,-0.75,-1.1220193,0.0266,15.0,47.226665,0.0,84.0,1771.0,347.0,1.0,164.39827,70.0,82,17,9,11,10,10,8,10,12,13
270,1.0,-0.75,-1.1402011,0.0184,15.0,46.72,0.0,33.0,1752.0,347.0,1.0,166.54373,30.0,80,17,14,11,10,10,10,10,12,13
271,-0.32999998,-0.75,-1.1306932,0.0266,15.0,46.02667,0.0,138.0,1726.0,347.0,1.0,165.4218,30.0,82,17,10,11,10,11,13,10,10,13
272,-0.33999994,-0.75,-1.1376723,0.0268,15.0,45.12,0.0,106.0,1692.0,348.0,1.0,166.24533,70.0,81,17,10,11,10,11,9,10,12,13
273,-0.255,-0.75,-1.1239164,0.0251,15.0,45.466667,0.0,47.0,1705.0,347.0,1.0,164.62213,50.0,81,17,13,11,10,10,9,10,12,12
274,1.0,-0.75,-1.1467531,0.0064,15.0,44.34667,0.0,9.0,1663.0,347.0,1.0,167.31686,10.0,44,17,10,11,10,10,13,10,11,12
275,1.0,-0.75,-1.1543024,0.0058,15.0,42.373333,0.0,7.0,1589.0,347.0,1.0,168.20767,10.0,35,17,9,11,10,10,8,10,12,12
276,1.0,-0.75,-1.0467509,0.0075,15.0,41.413334,0.0,12.0,1553.0,347.0,1.0,155.5166,50.0,61,17,12,11,9,10,8,10,10,12
277,1.0,-0.75,-1.1381481,0.006,15.0,42.4,0.0,8.0,1590.0,347.0,1.0,166.30147,90.0,39,17,10,11,10,10,11,10,10,12
278,1.0,-0.75,-1.1035452,0.0056,15.0,41.066666,0.0,7.0,1540.0,347.0,1.0,162.21834,10.0,35,17,8,11,9,10,8,10,10,13
279,1.0,-0.75,-1.1817722,0.0055,15.0,45.146667,0.0,6.0,1693.0,347.0,1.0,171.44913,90.0,28,17,11,11,10,11,10,10,11,13
280,1.0,-0.75,-1.1326339,0.0064,15.0,43.04,0.0,9.0,1614.0,347.0,1.0,165.6508,10.0,44,17,10,11,11,11,11,10,11,13
281,1.0,-0.75,-1.1119367,0.009,15.0,42.853333,0.0,15.0,1607.0,347.0,1.0,163.20853,30.0,75,17,8,11,9,10,8,10,12,13
282,1.0,-0.75,-1.1348983,0.0064,15.0,46.666668,0.0,9.0,1750.0,347.0,1.0,165.918,50.0,42,17,12,11,11,10,11,10,12,13
283,1.0,-0.75,-1.1257831,0.0068,15.0,45.6,0.0,10.0,1710.0,347.0,1.0,164.8424,10.0,47,16,11,11,11,10,10,10,11,13
284,1.0,-0.75,-1.1701441,0.0057,15.0,45.52,0.0,7.0,1707.0,347.0,1.0,170.077,50.0,35,17,10,11,9,10,9,10,11,13
285,1.0,-0.75,-1.1683226,0.0061,15.0,43.28,0.0,8.0,1623.0,348.0,1.0,169.86206,70.0,39,17,13,11,10,10,10,10,12,13
286,1.0,-0.75,-1.1406146,0.0084,15.0,44.56,0.0,14.0,1671.0,347.0,1.0,166.59253,50.0,65,16,11,11,11,10,10,10,11,13
287,1.0,-0.75,-1.0921508,0.0061,15.0,41.36,0.0,9.0,1551.0,347.0,1.0,160.8738,50.0,47,16,8,11,7,11,9,10,11,13
288,1.0,-0.75,-1.1173005,0.0058,15.0,42.213333,0.0,8.0,1583.0,347.0,1.0,163.84146,90.0,41,17,11,11,10,11,9,10,11,13
289,1.0,-0.75,-1.1421423,0.0055,15.0,42.666668,0.0,7.0,1600.0,347.0,1.0,166.7728,30.0,32,16,10,11,10,10,10,10,11,13
290,1.0,-0.75,-1.1237599,0.0055,15.0,42.8,0.0,7.0,1605.0,348.0,1.0,164.60367,50.0,34,16,10,11,8,10,9,10,10,13
291,-0.020000037,-0.7,-1.111087,0.0204,14.0,47.866665,0.0,38.0,1795.0,347.0,1.0,163.10826,30.0,84,16,10,11,12,10,10,10,12,13
292,1.0,-0.7,-1.1453762,0.0064,14.0,44.37143,0.0,9.0,1553.0,324.0,1.0,167.15439,90.0,42,16,10,11,11,10,11,10,12,13
293,1.0,-0.7,-1.170373,0.0053,14.0,46.57143,0.0,6.0,1630.0,325.0,1.0,170.104,50.0,27,16,11,11,8,10,10,10,11,13
294,1.0,-0.7,-1.1546141,0.006,14.0,46.942856,0.0,8.0,1643.0,324.0,1.0,168.24446,50.0,40,16,10,11,11,11,10,10,12,13
295,1.0,-0.7,-1.1828187,0.0053,14.0,45.2,0.0,6.0,1582.0,324.0,1.0,171.5726,90.0,28,16,10,11,11,11,11,10,10,13
296,1.0,-0.7,-1.1264001,0.0092,14.0,47.6,0.0,15.0,1666.0,324.0,1.0,164.9152,50.0,68,16,11,11,8,11,9,10,12,13
297,1.0,-0.7,-1.1134627,0.0072,14.0,44.142857,0.0,11.0,1545.0,324.0,1.0,163.3886,30.0,55,16,10,11,10,10,10,10,13,13
298,1.0,-0.7,-1.1217757,0.0097,14.0,45.6,0.0,16.0,1596.0,324.0,1.0,164.36954,30.0,79,16,10,11,12,10,10,10,10,13
299,1.0,-0.7,-1.144908,0.006,14.0,46.314285,0.0,8.0,1621.0,324.0,1.0,167.09914,10.0,37,16,13,11,11,10,11,10,12,13
300,1.0,-0.7,-1.1245581,0.0073,14.0,46.114285,0.0,11.0,1614.0,324.0,1.0,164.69786,90.0,53,17,9,11,11,10,12,10,11,13
301,1.0,-0.7,-1.1240067,0.0175,14.0,47.057144,0.0,31.0,1647.0,324.0,1.0,164.6328,30.0,78,17,9,11,10,10,9,10,12,13
302,1.0,-0.7,-1.122074,0.0099,14.0,47.314285,0.0,16.0,1656.0,324.0,1.0,164.40474,90.0,75,16,12,11,10,11,10,10,11,13
303,1.0,-0.7,-1.1159232,0.0091,14.0,46.37143,0.0,15.0,1623.0,325.0,1.0,163.67894,90.0,76,17,9,11,10,11,12,10,11,12
304,1.0,-0.7,-1.1458056,0.0084,14.0,46.114285,0.0,13.0,1614.0,324.0,1.0,167.20506,30.0,56,17,10,11,10,10,9,10,12,12
305,1.0,-0.7,-1.1363637,0.0069,14.0,46.4,0.0,10.0,1624.0,324.0,1.0,166.09093,10.0,48,17,13,11,10,10,10,10,11,12
306,1.0,-0.7,-1.123752,0.0164,14.0,46.82857,0.0,29.0,1639.0,324.0,1.0,164.60274,10.0,83,17,10,11,11,10,12,10,11,12
307,1.0,-0.7,-1.1271057,0.0118,14.0,44.885715,0.0,20.0,1571.0,324.0,1.0,164.99847,10.0,75,17,9,11,10,10,8,10,12,13
308,-0.03500001,-0.7,-1.1238565,0.0207,14.0,44.914288,0.0,37.0,1572.0,325.0,1.0,164.61507,10.0,76,17,12,11,10,10,9,10,12,12
309,-0.375,-0.7,-1.1496129,0.0275,14.0,45.37143,0.0,143.0,1588.0,325.0,1.0,167.65433,10.0,83,17,10,11,11,10,12,10,12,13
310,-0.38,-0.7,-1.1222417,0.0276,14.0,44.0,0.0,121.0,1540.0,324.0,1.0,164.42453,50.0,83,17,8,11,9,11,9,10,11,13
311,-0.37,-0.7,-1.1492944,0.0274,14.0,48.0,0.0,134.0,1680.0,324.0,1.0,167.61673,10.0,76,17,13,11,11,10,9,10,12,13
312,-0.38499996,-0.7,-1.1318051,0.0277,14.0,45.142857,0.0,80.0,1580.0,324.0,1.0,165.553,90.0,83,17,10,11,10,10,12,10,12,13
313,-0.37,-0.7,-1.140648,0.0274,14.0,45.914288,0.0,83.0,1607.0,324.0,1.0,166.59647,30.0,84,17,9,11,10,10,9,10,11,12
314,-0.41500002,-0.7,-1.1767712,0.0283,14.0,47.485714,0.0,67.0,1662.0,325.0,1.0,170.859,70.0,76,17,13,11,10,10,8,10,12,12
315,-0.40500003,-0.7,-1.1544373,0.0281,14.0,47.685715,0.0,62.0,1669.0,324.0,1.0,168.2236,10.0,79,16,10,11,10,10,12,10,12,12
316,1.0,-0.7,-1.1432333,0.0093,14.0,44.714287,0.0,15.0,1565.0,324.0,1.0,166.90154,10.0,76,16,9,11,10,10,9,10,11,12
317,1.0,-0.7,-1.1371402,0.0161,14.0,45.714287,0.0,28.0,1600.0,324.0,1.0,166.18254,10.0,80,16,12,11,10,10,8,10,11,13
318,-0.38,-0.7,-1.1412622,0.0276,14.0,45.228573,0.0,126.0,1583.0,324.0,1.0,166.66893,30.0,78,16,11,11,10,11,12,10,11,13
