timestep,r_perf,r_cost,r_energy,latency,replicas,avg_cpu_percent,ram_usage,num_requests,total_cpu_m,total_ram_mi,success_ratio,pod_power,hpa_target
138,-0.5900001,-1.55,-0.28866488,0.0318,31.0,43.16129,0.0,56.0,3345.0,683.0,1.0,66.062454,30.0
139,-0.5799999,-1.55,-0.2902503,0.0316,31.0,44.090324,0.0,54.0,3417.0,683.0,1.0,66.249535,90.0
140,-0.5900001,-1.55,-0.28657,0.0318,31.0,37.29032,0.0,144.0,2890.0,683.0,1.0,65.81526,90.0
141,-0.5900001,-1.55,-0.28430116,0.0318,31.0,48.580647,0.0,66.0,3765.0,683.0,1.0,65.54754,50.0
142,-0.5799999,-1.55,-0.28466055,0.0316,31.0,49.380646,0.0,139.0,3827.0,683.0,1.0,65.58994,70.0
143,-0.58500004,-1.55,-0.2728251,0.0317,31.0,42.309677,0.0,135.0,3279.0,683.0,1.0,64.19336,10.0
144,-0.57500005,-1.55,-0.26562715,0.0315,31.0,52.245163,0.0,120.0,4049.0,683.0,1.0,63.344,50.0
145,1.0,-2.0,-0.6691211,0.0155,40.0,63.882355,0.0,9.0,5430.0,746.0,1.0,110.95629,70.0
146,-0.43999997,-2.0,-0.24100395,0.0288,40.0,32.4,0.0,133.0,3240.0,872.0,1.0,60.438465,30.0
147,-0.42999998,-2.0,-0.2375339,0.0286,40.0,38.77,0.0,134.0,3877.0,872.0,1.0,60.029,50.0
148,1.0,-2.0,-0.7667936,0.0128,40.0,35.07,0.0,4.0,3507.0,872.0,1.0,122.48164,70.0
149,-0.38999996,-2.6,-0.0454537,0.0278,52.0,12.392307,0.0,124.0,1611.0,1124.0,1.0,37.363537,10.0
150,-0.35500002,-2.6,-0.10410309,0.0271,52.0,16.223078,0.0,63.0,2109.0,1124.0,1.0,44.284164,90.0
151,-0.35500002,-2.6,-0.16855188,0.0271,52.0,15.353847,0.0,142.0,1996.0,1126.0,1.0,51.889122,30.0
152,-0.32,-2.6,-0.22928871,0.0264,52.0,13.692307,0.0,48.0,1780.0,1124.0,1.0,59.05607,50.0
153,-0.34500003,-2.6,-0.23223728,0.0269,52.0,16.138462,0.0,108.0,2098.0,1125.0,1.0,59.404,50.0
154,-0.35000002,-2.6,-0.23624688,0.027,52.0,13.823077,0.0,56.0,1797.0,1127.0,1.0,59.877132,90.0
155,-0.35500002,-2.6,-0.23546329,0.0271,52.0,14.915384,0.0,83.0,1939.0,1125.0,1.0,59.784668,30.0
