timestep,r_perf,r_cost,r_energy,latency,replicas,avg_cpu_percent,ram_usage,num_requests,total_cpu_m,total_ram_mi,success_ratio,pod_power,hpa_target
90,-0.55499995,-1.65,-0.2540536,0.0311,33.0,22.472727,0.0,138.0,1854.0,726.0,1.0,61.978325,10.0
91,-0.53999996,-1.65,-0.23958181,0.0308,33.0,26.024242,0.0,155.0,2147.0,726.0,1.0,60.270653,70.0
92,-0.54499996,-1.65,-0.24873872,0.0309,33.0,24.630302,0.0,207.0,2032.0,726.0,1.0,61.35117,90.0
93,-0.54499996,-1.65,-0.28259337,0.0309,33.0,34.036366,0.0,255.0,2808.0,726.0,1.0,65.346016,10.0
94,-0.54999995,-1.65,-0.28585538,0.031,33.0,36.49697,0.0,262.0,3011.0,726.0,1.0,65.730934,90.0
95,-0.55999994,-1.65,-0.288365,0.0312,33.0,32.47273,0.0,207.0,2679.0,726.0,1.0,66.02707,90.0
96,-0.53999996,-1.65,-0.30390316,0.0308,33.0,45.00606,0.0,142.0,3713.0,726.0,1.0,67.86057,10.0
97,-0.54499996,-1.65,-0.3190627,0.0309,33.0,45.563637,0.0,65.0,3759.0,726.0,1.0,69.6494,10.0
98,1.0,-2.0,-0.5399513,0.019,40.0,50.05,0.0,20.0,5005.0,873.0,1.0,95.71426,30.0
99,1.0,-2.3,-0.5237175,0.0189,46.0,57.28,0.0,21.0,5728.0,873.0,1.0,93.79867,90.0
100,-0.38,-2.3,-0.2637032,0.0276,46.0,32.35652,0.0,65.0,3721.0,999.0,1.0,63.116978,50.0
101,-0.37,-2.3,-0.24916798,0.0274,46.0,23.608696,0.0,54.0,2715.0,999.0,1.0,61.40182,30.0
102,-0.37,-2.3,-0.24823163,0.0274,46.0,23.539131,0.0,103.0,2707.0,1000.0,1.0,61.291332,50.0
103,-0.375,-2.3,-0.2458181,0.0275,46.0,23.721739,0.0,114.0,2728.0,1000.0,1.0,61.006535,10.0
104,-0.41500002,-1.55,-0.22692655,0.0283,31.0,31.295652,0.0,118.0,3599.0,1000.0,1.0,58.777332,70.0
105,-0.6100001,-1.55,-0.2580394,0.0322,31.0,46.670967,0.0,109.0,3617.0,682.0,1.0,62.44865,30.0
106,1.0,-2.0,-0.45984754,0.0183,40.0,66.283875,0.0,16.0,5137.0,682.0,1.0,86.26201,70.0
107,-0.41500002,-2.0,-0.18814068,0.0283,40.0,39.45,0.0,121.0,3945.0,871.0,1.0,54.2006,10.0
108,-0.425,-2.0,-0.18929534,0.0285,40.0,33.5,0.0,84.0,3350.0,871.0,1.0,54.33685,10.0
109,-0.425,-2.0,-0.22493763,0.0285,40.0,37.77,0.0,82.0,3777.0,871.0,1.0,58.54264,50.0
110,1.0,-2.0,-0.65771466,0.0146,40.0,56.92,0.0,8.0,5692.0,871.0,1.0,109.61033,30.0
111,1.0,-2.25,-0.33720708,0.0185,45.0,37.20889,0.0,22.0,4186.0,977.0,1.0,71.790436,90.0
112,1.0,-2.25,-0.45164296,0.0161,45.0,47.43111,0.0,13.0,5336.0,976.0,1.0,85.29387,70.0
113,1.0,-2.25,-0.3776254,0.0179,45.0,39.084446,0.0,20.0,4397.0,976.0,1.0,76.5598,10.0
114,-0.38,-2.25,-0.18233559,0.0276,45.0,19.377777,0.0,70.0,2180.0,977.0,1.0,53.5156,50.0
115,-0.054999977,-2.25,-0.31556946,0.0211,45.0,31.564444,0.0,30.0,3551.0,977.0,1.0,69.2372,50.0
116,-0.19500002,-2.25,-0.25454533,0.0239,45.0,27.937778,0.0,39.0,3143.0,977.0,1.0,62.03635,90.0
117,-0.38999996,-1.9,-0.21282206,0.0278,38.0,18.551111,0.0,74.0,2087.0,977.0,1.0,57.113003,50.0
118,-0.48999998,-1.7,-0.23816681,0.0298,34.0,33.0,0.0,59.0,2970.0,788.0,1.0,60.103683,10.0
119,-0.52000004,-1.7,-0.23774539,0.0304,34.0,35.02353,0.0,136.0,2977.0,744.0,1.0,60.053955,10.0
120,-0.51500005,-1.7,-0.24241741,0.0303,34.0,27.082354,0.0,109.0,2302.0,745.0,1.0,60.605255,10.0
121,-0.51500005,-1.7,-0.25365597,0.0303,34.0,36.235294,0.0,56.0,3080.0,745.0,1.0,61.931404,70.0
122,-0.50499994,-1.7,-0.2498015,0.0301,34.0,34.22353,0.0,74.0,2909.0,747.0,1.0,61.476578,70.0
123,-0.51000005,-1.7,-0.25638014,0.0302,34.0,28.952942,0.0,57.0,2461.0,747.0,1.0,62.252857,30.0
124,-0.50499994,-1.7,-0.26198474,0.0301,34.0,35.435295,0.0,99.0,3012.0,747.0,1.0,62.9142,70.0
125,-0.51500005,-1.7,-0.2628536,0.0303,34.0,31.4,0.0,59.0,2669.0,749.0,1.0,63.016724,70.0
126,-0.52000004,-1.7,-0.26912075,0.0304,34.0,29.917646,0.0,59.0,2543.0,748.0,1.0,63.75625,30.0
127,-0.325,-1.7,-0.31962398,0.0265,34.0,37.35294,0.0,40.0,3175.0,748.0,1.0,69.71563,90.0
128,-0.51000005,-1.7,-0.27324134,0.0302,34.0,29.235294,0.0,52.0,2485.0,749.0,1.0,64.24248,90.0
129,-0.52000004,-1.7,-0.27135184,0.0304,34.0,36.847057,0.0,77.0,3132.0,748.0,1.0,64.019516,30.0
130,-0.51500005,-1.7,-0.2742743,0.0303,34.0,39.494118,0.0,82.0,3357.0,748.0,1.0,64.364365,10.0
131,-0.52000004,-1.7,-0.2778447,0.0304,34.0,30.305882,0.0,61.0,2576.0,749.0,1.0,64.785675,30.0
132,-0.49499997,-1.7,-0.27758622,0.0299,34.0,42.129414,0.0,49.0,3581.0,748.0,1.0,64.75517,50.0
133,-0.52000004,-1.7,-0.27402076,0.0304,34.0,42.541176,0.0,103.0,3616.0,748.0,1.0,64.33445,90.0
134,-0.52000004,-1.7,-0.27733412,0.0304,34.0,36.57647,0.0,75.0,3109.0,748.0,1.0,64.725426,70.0
135,-0.52000004,-1.7,-0.27487007,0.0304,34.0,46.094116,0.0,100.0,3918.0,748.0,1.0,64.43467,10.0
136,-0.50499994,-1.7,-0.26812363,0.0301,34.0,45.458824,0.0,115.0,3864.0,748.0,1.0,63.638588,10.0
137,-0.52000004,-1.7,-0.25626656,0.0304,34.0,36.10588,0.0,70.0,3069.0,748.0,1.0,62.239456,90.0
138,-0.51000005,-1.7,-0.26485762,0.0302,34.0,34.941177,0.0,56.0,2970.0,748.0,1.0,63.2532,30.0
139,-0.52500004,-1.7,-0.27291766,0.0305,34.0,32.17647,0.0,54.0,2735.0,748.0,1.0,64.204285,90.0
140,-0.51000005,-1.7,-0.255468,0.0302,34.0,39.08235,0.0,144.0,3322.0,748.0,1.0,62.145226,90.0
141,-0.51500005,-1.7,-0.25085503,0.0303,34.0,36.08235,0.0,66.0,3067.0,748.0,1.0,61.600895,50.0
142,-0.52000004,-1.7,-0.25983545,0.0304,34.0,37.505882,0.0,139.0,3188.0,748.0,1.0,62.660583,70.0
143,-0.50499994,-1.7,-0.25028306,0.0301,34.0,39.02353,0.0,135.0,3317.0,748.0,1.0,61.5334,10.0
144,-0.49999997,-1.7,-0.22285934,0.03,34.0,36.494118,0.0,120.0,3102.0,750.0,1.0,58.2974,50.0
145,1.0,-2.05,-0.66430163,0.0154,41.0,65.011765,0.0,9.0,5526.0,748.0,1.0,110.387596,70.0
146,-0.42000002,-2.05,-0.2273588,0.0284,41.0,39.121952,0.0,133.0,4010.0,895.0,1.0,58.82834,30.0
147,-0.41500002,-2.05,-0.21357362,0.0283,41.0,29.6,0.0,134.0,3034.0,895.0,1.0,57.201687,50.0
148,1.0,-2.05,-0.76672655,0.0128,41.0,34.75122,0.0,4.0,3562.0,895.0,1.0,122.47373,70.0
149,-0.39499995,-2.55,-0.120687805,0.0279,51.0,16.729412,0.0,124.0,2133.0,1105.0,1.0,46.24116,10.0
150,-0.35000002,-2.55,-0.15079854,0.027,51.0,11.968627,0.0,63.0,1526.0,1105.0,1.0,49.794228,90.0
151,-0.33999994,-2.55,-0.2031862,0.0268,51.0,16.235294,0.0,142.0,2070.0,1105.0,1.0,55.97597,30.0
152,-0.32,-2.55,-0.22587234,0.0264,51.0,16.941177,0.0,48.0,2160.0,1105.0,1.0,58.652935,50.0
153,-0.35000002,-2.55,-0.23171079,0.027,51.0,12.447059,0.0,108.0,1587.0,1105.0,1.0,59.341873,50.0
154,-0.40500003,-2.1,-0.19317466,0.0281,42.0,20.552382,0.0,56.0,2158.0,916.0,1.0,54.79461,90.0
155,-0.42000002,-2.1,-0.22358009,0.0284,42.0,21.028572,0.0,83.0,2208.0,917.0,1.0,58.38245,30.0
