timestep,r_perf,r_cost,r_energy,latency,replicas,avg_cpu_percent,ram_usage,num_requests,total_cpu_m,total_ram_mi,success_ratio,pod_power,hpa_target,masterk8s2_cpu,masterk8s2_mem,worker2_cpu,worker2_mem,worker21_cpu,worker21_mem,worker22_cpu,worker22_mem
53,-0.45,-1.95,-1.5202402,0.029,39.0,47.528206,0.0,131.0,4634.0,820.0,1.0,211.38834,90.0,66,9,<unknown>,<unknown>,34,5,32,4
54,-0.45,-1.95,-1.4911057,0.029,39.0,47.733334,0.0,131.0,4654.0,820.0,1.0,207.95047,30.0,74,9,<unknown>,<unknown>,24,5,31,4
55,-0.44,-1.95,-1.3848616,0.0288,39.0,46.092308,0.0,132.0,4494.0,821.0,1.0,195.41367,70.0,68,9,<unknown>,<unknown>,28,5,29,4
56,-0.44,-1.95,-1.4004414,0.0288,39.0,45.2,0.0,147.0,4407.0,822.0,1.0,197.25209,90.0,67,9,<unknown>,<unknown>,34,5,30,4
57,-0.45500007,-1.95,-1.3941463,0.0291,39.0,45.28205,0.0,166.0,4415.0,823.0,1.0,196.50926,70.0,76,9,<unknown>,<unknown>,24,5,30,4
58,-0.45,-1.95,-1.3250475,0.029,39.0,44.65641,0.0,141.0,4354.0,822.0,1.0,188.3556,50.0,68,9,<unknown>,<unknown>,25,5,28,4
59,-0.45,-1.95,-1.3221554,0.029,39.0,43.128204,0.0,159.0,4205.0,824.0,1.0,188.01433,70.0,68,9,<unknown>,<unknown>,33,5,29,4
60,-0.45,-1.95,-1.2933537,0.029,39.0,44.102566,0.0,160.0,4300.0,824.0,1.0,184.61574,10.0,76,9,<unknown>,<unknown>,26,5,29,4
61,-0.44,-1.95,-1.2950226,0.0288,39.0,43.589745,0.0,164.0,4250.0,822.0,1.0,184.81267,30.0,69,9,<unknown>,<unknown>,22,5,27,4
62,-0.45,-1.95,-1.2772927,0.029,39.0,39.80513,0.0,138.0,3881.0,824.0,1.0,182.72054,50.0,69,9,<unknown>,<unknown>,30,5,29,4
63,-0.45500007,-1.95,-1.2912384,0.0291,39.0,41.835896,0.0,150.0,4079.0,822.0,1.0,184.36613,10.0,76,9,<unknown>,<unknown>,29,5,29,4
64,-0.45500007,-1.95,-1.287143,0.0291,39.0,40.8,0.0,138.0,3978.0,823.0,1.0,183.88287,10.0,67,9,<unknown>,<unknown>,22,5,28,4
65,-0.45500007,-1.95,-1.2847995,0.0291,39.0,40.205128,0.0,145.0,3920.0,825.0,1.0,183.60634,90.0,67,9,<unknown>,<unknown>,27,5,31,4
66,-0.44,-1.95,-1.2536807,0.0288,39.0,36.758976,0.0,131.0,3584.0,826.0,1.0,179.93433,30.0,75,9,<unknown>,<unknown>,32,5,29,4
67,-0.46000007,-1.95,-1.3098481,0.0292,39.0,34.71795,0.0,128.0,3385.0,827.0,1.0,186.56207,90.0,68,9,<unknown>,<unknown>,22,5,22,4
