timestep,r_perf,r_cost,r_energy,latency,replicas,avg_cpu_percent,ram_usage,num_requests,total_cpu_m,total_ram_mi,success_ratio,pod_power,hpa_target,masterk8s2_cpu,masterk8s2_mem,worker2_cpu,worker2_mem,worker21_cpu,worker21_mem,worker22_cpu,worker22_mem
467,-0.435,-2.05,-1.3828633,0.0287,41.0,35.229267,0.0,121.0,3611.0,883.0,1.0,195.17787,70.0,80,10,<unknown>,<unknown>,30,5,24,4
468,-0.43000004,-2.05,-1.4310136,0.0286,41.0,33.307316,0.0,84.0,3414.0,886.0,1.0,200.8596,50.0,70,10,<unknown>,<unknown>,24,5,24,4
469,-0.42500004,-2.05,-1.4776429,0.0285,41.0,34.048782,0.0,82.0,3490.0,884.0,1.0,206.36186,70.0,76,10,<unknown>,<unknown>,22,5,23,4
470,1.0,-2.05,-1.9252837,0.0148,41.0,47.082928,0.0,8.0,4826.0,884.0,1.0,259.18347,90.0,11,10,<unknown>,<unknown>,31,5,34,4
471,1.0,-2.3500001,-1.6039697,0.0191,47.0,31.73617,0.0,22.0,3729.0,1004.0,1.0,221.26842,90.0,58,10,<unknown>,<unknown>,23,5,27,5
472,1.0,-2.3500001,-1.7804198,0.0163,47.0,35.6,0.0,13.0,4183.0,1005.0,1.0,242.08954,10.0,47,10,<unknown>,<unknown>,26,5,25,5
473,1.0,-2.3500001,-1.6472164,0.0184,47.0,30.689362,0.0,20.0,3606.0,1010.0,1.0,226.37154,50.0,69,10,<unknown>,<unknown>,23,5,21,5
474,-0.37000003,-2.3500001,-1.3672407,0.0274,47.0,24.340425,0.0,70.0,2860.0,1009.0,1.0,193.3344,70.0,76,10,<unknown>,<unknown>,18,5,18,5
475,-0.07500006,-2.3500001,-1.5302887,0.0215,47.0,29.055319,0.0,30.0,3414.0,1009.0,1.0,212.57407,90.0,76,10,<unknown>,<unknown>,20,5,21,5
476,-0.24000007,-2.05,-1.4428807,0.0248,41.0,30.360975,0.0,39.0,3112.0,883.0,1.0,202.25993,50.0,81,10,<unknown>,<unknown>,21,5,18,5
477,-0.45500007,-2.05,-1.469165,0.0291,41.0,30.312195,0.0,74.0,3107.0,886.0,1.0,205.36147,50.0,75,10,<unknown>,<unknown>,20,5,18,4
478,-0.5,-1.75,-1.4387045,0.03,35.0,35.965714,0.0,59.0,3147.0,757.0,1.0,201.76714,10.0,78,10,<unknown>,<unknown>,19,5,20,4
479,-0.52500004,-1.75,-1.5107468,0.0305,35.0,39.50857,0.0,136.0,3457.0,757.0,1.0,210.26813,10.0,81,10,<unknown>,<unknown>,21,5,19,4
480,-0.52000004,-1.75,-1.4618373,0.0304,35.0,40.137142,0.0,109.0,3512.0,759.0,1.0,204.4968,90.0,73,10,<unknown>,<unknown>,21,5,21,4
481,-0.53000003,-1.75,-1.5250841,0.0306,35.0,42.194286,0.0,56.0,3692.0,758.0,1.0,211.95993,30.0,77,10,<unknown>,<unknown>,20,5,21,4
482,-0.52500004,-1.75,-1.5089034,0.0305,35.0,43.50857,0.0,74.0,3807.0,758.0,1.0,210.0506,10.0,81,10,<unknown>,<unknown>,22,5,21,4
483,-0.54,-1.75,-1.4953706,0.0308,35.0,42.93714,0.0,57.0,3757.0,760.0,1.0,208.45374,30.0,69,10,<unknown>,<unknown>,23,5,23,4
484,-0.55,-1.75,-1.5618916,0.031,35.0,34.194286,0.0,99.0,2992.0,759.0,1.0,216.3032,50.0,80,10,<unknown>,<unknown>,15,5,16,4
485,-0.535,-1.75,-1.5127679,0.0307,35.0,34.262856,0.0,59.0,2998.0,758.0,1.0,210.5066,70.0,77,10,<unknown>,<unknown>,22,5,16,4
486,-0.535,-1.75,-1.5662022,0.0307,35.0,36.365715,0.0,59.0,3182.0,758.0,1.0,216.81186,90.0,77,10,<unknown>,<unknown>,18,5,23,4
487,-0.36000004,-1.75,-1.579739,0.0272,35.0,39.577145,0.0,40.0,3463.0,760.0,1.0,218.4092,90.0,76,10,<unknown>,<unknown>,15,5,18,4
488,-0.54,-1.75,-1.5725831,0.0308,35.0,36.251427,0.0,52.0,3172.0,759.0,1.0,217.5648,50.0,76,10,<unknown>,<unknown>,22,5,21,4
